id,timestamp,target_embedding,source_params,model,seed,input_dim,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,ln_block_end,pooling,fc_hidden,norm,dropout,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
1,20251219_172111,baseline_31steps_concat.csv,Preset_1,TCN,42,512,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,False,attention,64,minmax,"[0.0, 0.0, 0.0]",96,Adam,,1e-05,2e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14766,2.32068,0.47727,0.35789,"[0.47368, 0.0, 0.6]",749,0.73975,1.16575,0.52273,0.43837,"[0.51429, 0.16667, 0.63415]",183,COMPLETED,116.428
2,20251219_172111,gaitgl_64steps_concat.csv,Preset_1,TCN,42,768,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,False,attention,64,minmax,"[0.0, 0.0, 0.0]",96,Adam,,1e-05,2e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1406,2.35924,0.38636,0.28837,"[0.4, 0.0, 0.46512]",600,0.27673,1.65148,0.52273,0.48025,"[0.51282, 0.33333, 0.59459]",306,COMPLETED,144.603
3,20251219_172111,gaitpart_16steps_concat.csv,Preset_1,TCN,42,512,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,False,attention,64,minmax,"[0.0, 0.0, 0.0]",96,Adam,,1e-05,2e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14948,2.7033,0.40909,0.37965,"[0.57895, 0.16, 0.4]",868,0.61826,1.84707,0.5,0.49344,"[0.51613, 0.43478, 0.52941]",395,COMPLETED,97.261
4,20251219_172111,gaitset_62steps_concat.csv,Preset_1,TCN,42,768,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,False,attention,64,minmax,"[0.0, 0.0, 0.0]",96,Adam,,1e-05,2e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1412,1.76966,0.45455,0.3907,"[0.47368, 0.14286, 0.55556]",668,0.74681,1.14902,0.5,0.47944,"[0.55814, 0.42857, 0.45161]",283,COMPLETED,155.921
5,20251219_172111,gln_93steps_concat.csv,Preset_1,TCN,42,512,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,False,attention,64,minmax,"[0.0, 0.0, 0.0]",96,Adam,,1e-05,2e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14554,1.64622,0.45455,0.43571,"[0.55, 0.4, 0.35714]",873,0.73837,0.9991,0.63636,0.62026,"[0.62857, 0.52632, 0.70588]",325,COMPLETED,252.76

6,20251219_172111,baseline_31steps_concat.csv,Preset_2,TCN,42,512,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,L2,"[0.1, 0.1, 0.2, 0.2]",96,AdamW,,0.0002,5e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11813,2.36425,0.43182,0.37183,"[0.52381, 0.125, 0.46667]",134,0.1477,2.12021,0.5,0.42886,"[0.52381, 0.22222, 0.54054]",130,COMPLETED,18.521
7,20251219_172111,gaitgl_64steps_concat.csv,Preset_2,TCN,42,768,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,L2,"[0.1, 0.1, 0.2, 0.2]",96,AdamW,,0.0002,5e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12113,1.98813,0.45455,0.3264,"[0.42105, 0.0, 0.55814]",55,0.25516,2.24428,0.5,0.44995,"[0.4375, 0.30769, 0.60465]",40,COMPLETED,11.479
8,20251219_172111,gaitpart_16steps_concat.csv,Preset_2,TCN,42,512,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,L2,"[0.1, 0.1, 0.2, 0.2]",96,AdamW,,0.0002,5e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12315,1.7133,0.52273,0.38384,"[0.48485, 0.0, 0.66667]",266,0.27587,1.3026,0.63636,0.5701,"[0.68, 0.36364, 0.66667]",198,COMPLETED,29.409
9,20251219_172111,gaitset_62steps_concat.csv,Preset_2,TCN,42,768,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,L2,"[0.1, 0.1, 0.2, 0.2]",96,AdamW,,0.0002,5e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10352,2.66561,0.40909,0.32053,"[0.54054, 0.0, 0.42105]",228,0.7428,1.47134,0.47727,0.46636,"[0.54054, 0.42105, 0.4375]",126,COMPLETED,45.886
