id,timestamp,target_embedding,source_params,model,seed,input_dim,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,ln_block_end,pooling,fc_hidden,norm,dropout,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
1,20251219_172111,baseline_31steps_mean.csv,Preset_1,TCN,42,256,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,False,attention,64,minmax,"[0.0, 0.0, 0.0]",96,Adam,,1e-05,2e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14197,2.82008,0.36364,0.35362,"[0.42424, 0.15385, 0.48276]",691,0.65904,1.17302,0.59091,0.52197,"[0.68085, 0.33333, 0.55172]",198,COMPLETED,153.414
2,20251219_172111,gaitgl_64steps_mean.csv,Preset_1,TCN,42,256,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,False,attention,64,minmax,"[0.0, 0.0, 0.0]",96,Adam,,1e-05,2e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13559,2.31612,0.34091,0.20183,"[0.51852, 0.0, 0.08696]",411,0.71788,1.09131,0.52273,0.37729,"[0.61905, 0.0, 0.51282]",149,COMPLETED,132.426
3,20251219_172111,gaitpart_16steps_mean.csv,Preset_1,TCN,42,256,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,False,attention,64,minmax,"[0.0, 0.0, 0.0]",96,Adam,,1e-05,2e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.28013,2.08647,0.43182,0.39961,"[0.41379, 0.17391, 0.61111]",948,0.22974,1.89957,0.56818,0.52345,"[0.71429, 0.27273, 0.58333]",934,STOPPED,152.373
4,20251219_172111,gaitset_62steps_mean.csv,Preset_1,TCN,42,256,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,False,attention,64,minmax,"[0.0, 0.0, 0.0]",96,Adam,,1e-05,2e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.23393,2.79751,0.36364,0.35948,"[0.41176, 0.22222, 0.44444]",1043,0.55398,1.59637,0.54545,0.50979,"[0.61538, 0.33333, 0.58065]",417,STOPPED,318.038
5,20251219_172111,gln_93steps_mean.csv,Preset_1,TCN,42,256,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,False,attention,64,minmax,"[0.0, 0.0, 0.0]",96,Adam,,1e-05,2e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13954,1.78492,0.45455,0.35953,"[0.57692, 0.15385, 0.34783]",1013,0.62346,0.97393,0.56818,0.56061,"[0.59091, 0.54545, 0.54545]",293,COMPLETED,263.17

6,20251219_172111,baseline_31steps_mean.csv,Preset_2,TCN,42,256,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,L2,"[0.1, 0.1, 0.2, 0.2]",96,AdamW,,0.0002,5e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11021,3.03282,0.34091,0.30808,"[0.4, 0.1, 0.42424]",132,0.10536,2.16146,0.5,0.4205,"[0.59091, 0.2, 0.47059]",131,COMPLETED,16.937
7,20251219_172111,gaitgl_64steps_mean.csv,Preset_2,TCN,42,256,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,L2,"[0.1, 0.1, 0.2, 0.2]",96,AdamW,,0.0002,5e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13429,2.58448,0.47727,0.47575,"[0.51613, 0.44444, 0.46667]",77,0.12006,2.25044,0.52273,0.51912,"[0.53333, 0.46154, 0.5625]",73,COMPLETED,13.225
8,20251219_172111,gaitpart_16steps_mean.csv,Preset_2,TCN,42,256,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,L2,"[0.1, 0.1, 0.2, 0.2]",96,AdamW,,0.0002,5e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1468,3.2354,0.38636,0.38757,"[0.45161, 0.26667, 0.44444]",504,0.58287,1.33195,0.63636,0.59829,"[0.66667, 0.46154, 0.66667]",363,COMPLETED,56.735
9,20251219_172111,gaitset_62steps_mean.csv,Preset_2,TCN,42,256,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,L2,"[0.1, 0.1, 0.2, 0.2]",96,AdamW,,0.0002,5e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14999,2.1204,0.47727,0.30862,"[0.61818, 0.0, 0.30769]",244,0.62405,1.37151,0.56818,0.42424,"[0.72727, 0.0, 0.54545]",140,COMPLETED,41.463
